StoreKey,GeographyKey,StoreManager,StoreType,StoreName,StoreDescription,Status,OpenDate,CloseDate,EntityKey,ZipCode,ZipCodeExtension,StorePhone,StoreFax,AddressLine1,AddressLine2,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate
109,830,125,Store,Contoso Fort Lauderdale Store,Contoso Fort Lauderdale Store,On,2003-02-14 00:00:00.000,NULL,743,33304,33304,582-555-0178,582-555-0178,"G Harold Martin Downtown        ","G Harold Martin Downtown        ",NULL,25,700,2009-06-16 00:00:00.000
110,899,126,Store,Contoso Orlando Store,Contoso Orlando Store,On,2003-02-15 00:00:00.000,NULL,744,32803,32803,476-555-0119,476-555-0119,1400-1598 FL-50 St,1400-1598 FL-50 St,NULL,25,700,2009-06-17 00:00:00.000
111,938,127,Store,Contoso Tampa Store,Contoso Tampa Store,On,2003-02-16 00:00:00.000,NULL,745,33605,33605,531-555-0183,531-555-0183,"E Columbus Downtown        ","E Columbus Downtown        ",NULL,26,680,2009-06-16 00:00:00.000
112,857,128,Store,Contoso Key West Store,Contoso Key West Store,Off,2004-01-12 00:00:00.000,2009-07-02 00:00:00.000,746,33040,33040,637-555-0120,637-555-0120,N Roosevelt Blvd St,N Roosevelt Blvd St,Relocation,19,455,2009-06-17 00:00:00.000
113,807,129,Store,Contoso Cape Canaveral Store,Contoso Cape Canaveral Store,On,2004-02-14 00:00:00.000,NULL,747,32920,32920,260-555-0119,260-555-0119,Astronaut Blvd St,Astronaut Blvd St,NULL,33,560,2009-06-18 00:00:00.000
114,782,130,Store,Contoso Albany Store,Contoso Albany Store,On,2004-02-12 00:00:00.000,NULL,748,12207,12207,697-555-0142,697-555-0142,"N Pine St ","N Pine St ",NULL,47,1125,2009-06-16 00:00:00.000
115,890,131,Store,Contoso New York No.1 Store,Contoso New York No.1 Store,On,2004-03-01 00:00:00.000,NULL,749,10018,10018,571-555-0179,571-555-0179,"W 40th St ","W 40th St ",NULL,22,500,2009-06-17 00:00:00.000
116,922,132,Store,Contoso Rochester No.1 Store,Contoso Rochester No.1 Store,On,2004-04-02 00:00:00.000,NULL,750,14608,14608,147-555-0179,147-555-0179,Madison St,Madison St,NULL,17,462,2009-06-16 00:00:00.000
117,890,131,Store,Contoso New York No.2 Store,Contoso New York No.2 Store,On,2005-05-15 00:00:00.000,NULL,751,10018,10018,540-555-0191,540-555-0191,Kips Bay St,Kips Bay St,NULL,25,700,2009-06-17 00:00:00.000
118,936,133,Store,Contoso Syracuse Store,Contoso Syracuse Store,On,2004-06-16 00:00:00.000,NULL,752,13203,13203,234-555-0169,234-555-0169,"520 Pearl St ","520 Pearl St ",NULL,26,680,2009-06-18 00:00:00.000
119,805,134,Store,Contoso Buffalo Store,Contoso Buffalo Store,Off,2004-07-02 00:00:00.000,2008-09-22 00:00:00.000,753,14203,14203,185-555-0186,185-555-0186,Buffalo Citycenter,Buffalo Citycenter,Store,19,455,2009-06-16 00:00:00.000
120,911,139,Store,Contoso Plattsburgh Store,Contoso Plattsburgh Store,On,2004-08-18 00:00:00.000,NULL,754,12901,12901,727-555-0112,727-555-0112,"Brinkerhoff St ","Brinkerhoff St ",NULL,33,560,2009-06-17 00:00:00.000
121,804,140,Store,Contoso Brooklyn Store,Contoso Brooklyn Store,On,2004-09-19 00:00:00.000,NULL,755,11238,11238,158-555-0191,158-555-0191,"Flatbush Ave St ","Flatbush Ave St ",NULL,47,1125,2009-06-16 00:00:00.000
122,902,141,Store,Contoso Oswego Store,Contoso Oswego Store,On,2004-10-20 00:00:00.000,NULL,756,13126,13126,785-555-0110,785-555-0110,East River St,East River St,NULL,22,500,2009-06-17 00:00:00.000
123,852,142,Store,Contoso Ithaca Store,Contoso Ithaca Store,On,2004-11-21 00:00:00.000,NULL,757,14850,14850,361-555-0180,361-555-0180,Cascadilla Ave St,Cascadilla Ave St,NULL,17,460,2009-06-18 00:00:00.000
124,922,132,Store,Contoso Rochester No.2 Store,Contoso Rochester No.2 Store,On,2004-12-22 00:00:00.000,NULL,758,14608,14608,510-555-0121,510-555-0121,Canal St,Canal St,NULL,25,700,2009-06-16 00:00:00.000
125,916,143,Store,Contoso Queens Store,Contoso Queens Store,On,2006-01-23 00:00:00.000,NULL,759,11432,11432,150-555-0194,150-555-0194,St Johns Downtown,St Johns Downtown,NULL,25,700,2009-06-17 00:00:00.000
126,823,144,Store,Contoso Elmira Store,Contoso Elmira Store,On,2004-02-24 00:00:00.000,NULL,760,14901,14901,139-555-0120,139-555-0120,Columbia St,Columbia St,NULL,26,680,2009-06-16 00:00:00.000
127,912,145,Store,Contoso Poestenkill Store,Contoso Poestenkill Store,On,2004-01-25 00:00:00.000,NULL,761,12140,12140,712-555-0113,712-555-0113,Rensselaer County St,Rensselaer County St,NULL,19,455,2009-06-17 00:00:00.000
128,943,146,Store,Contoso Trenton No.1 Store,Contoso Trenton No.1 Store,On,2004-03-26 00:00:00.000,NULL,762,8608,8608,350-555-0167,350-555-0167,241 E State St,241 E State St,NULL,33,560,2009-06-18 00:00:00.000
129,943,146,Store,Contoso Trenton No.2 Store,Contoso Trenton No.2 Store,Off,2004-07-27 00:00:00.000,2008-12-12 00:00:00.000,763,8608,8608,241-555-0191,241-555-0191,"202 S Feeder St ","202 S Feeder St ",Relocation,47,1125,2009-06-16 00:00:00.000
130,891,147,Store,Contoso Newark No.1 Store,Contoso Newark No.1 Store,On,2004-08-28 00:00:00.000,NULL,764,7102,7102,119-555-0192,119-555-0192,Halsey St,Halsey St,NULL,22,500,2009-06-17 00:00:00.000
131,891,147,Store,Contoso Newark No.2 Store,Contoso Newark No.2 Store,On,2004-09-29 00:00:00.000,NULL,765,7102,7102,200-555-0112,200-555-0112,Edison PI St,Edison PI St,NULL,17,462,2009-06-16 00:00:00.000
132,854,148,Store,Contoso Jersey City Store,Contoso Jersey City Store,On,2004-11-02 00:00:00.000,NULL,766,7304,7304,205-555-0132,205-555-0132,76 Boyd Ave St,76 Boyd Ave St,NULL,25,700,2009-06-17 00:00:00.000
133,908,149,Store,Contoso Paterson Store,Contoso Paterson Store,On,2008-12-03 00:00:00.000,NULL,767,7505,7505,653-555-0144,653-555-0144,Federal Plaza St,Federal Plaza St,NULL,26,680,2009-06-18 00:00:00.000
134,814,150,Store,Contoso Clifton Store,Contoso Clifton Store,On,2004-01-24 00:00:00.000,NULL,768,7013,7013,417-555-0154,417-555-0154,Kowal Downtown,Kowal Downtown,NULL,26,680,2009-06-16 00:00:00.000
135,820,151,Store,Contoso East Orange Store,Contoso East Orange Store,On,2004-02-15 00:00:00.000,NULL,769,7017,7017,935-555-0199,935-555-0199,N Arlington Ave,N Arlington Ave,NULL,19,455,2009-06-17 00:00:00.000
136,907,152,Store,Contoso Passaic Store,Contoso Passaic Store,On,2004-03-16 00:00:00.000,NULL,770,7055,7055,180-555-0136,180-555-0136,190 Paulison Ave,190 Paulison Ave,NULL,33,560,2009-06-16 00:00:00.000
137,797,153,Store,Contoso Bayonne Store,Contoso Bayonne Store,On,2004-04-17 00:00:00.000,NULL,771,7002,7002,500-555-0159,500-555-0159,"E 31st St ","E 31st St ",NULL,47,1125,2009-06-17 00:00:00.000
138,945,154,Store,Contoso Vineland Store,Contoso Vineland Store,On,2004-05-18 00:00:00.000,NULL,772,8360,8360,984-555-0148,984-555-0148,"W Cherry St ","W Cherry St ",NULL,22,500,2009-06-18 00:00:00.000
139,886,155,Store,Contoso New Brunswick Store,Contoso New Brunswick Store,On,2004-06-19 00:00:00.000,NULL,773,8901,8901,533-555-0111,533-555-0111,"Suydam St ","Suydam St ",NULL,17,462,2009-06-16 00:00:00.000
140,842,156,Store,Contoso Hackensack Store,Contoso Hackensack Store,On,2004-07-20 00:00:00.000,NULL,774,7601,7601,352-555-0138,352-555-0138,237 State St,237 State St,NULL,25,700,2009-06-17 00:00:00.000
141,788,157,Store,Contoso Atlantic City Store,Contoso Atlantic City Store,On,2004-08-21 00:00:00.000,NULL,775,8401,8401,446-555-0118,446-555-0118,"Pacific Ave ","Pacific Ave ",NULL,26,680,2009-06-16 00:00:00.000
142,880,158,Store,Contoso Montclair Store,Contoso Montclair Store,On,2004-09-22 00:00:00.000,NULL,776,7042,7042,955-555-0169,955-555-0169,"Valley St ","Valley St ",NULL,19,455,2009-06-17 00:00:00.000
143,847,159,Store,Contoso Hoboken Store,Contoso Hoboken Store,On,2004-10-23 00:00:00.000,NULL,777,7030,7030,110-555-0182,110-555-0182,322 8th St,322 8th St,NULL,33,560,2009-06-18 00:00:00.000
144,882,160,Store,Contoso Morristown Store,Contoso Morristown Store,On,2004-11-24 00:00:00.000,NULL,778,7960,7960,646-555-0185,646-555-0185,Washington St,Washington St,NULL,47,1125,2009-06-16 00:00:00.000
145,808,161,Store,Contoso Cape May Store,Contoso Cape May Store,On,2004-12-02 00:00:00.000,NULL,779,8204,8204,615-555-0110,615-555-0110,"Delaware Ave St ","Delaware Ave St ",NULL,22,500,2009-06-17 00:00:00.000
146,802,162,Store,Contoso Boston Store,Contoso Boston Store,On,2004-11-06 00:00:00.000,NULL,780,2210,2210,615-555-0110,615-555-0110,"Channel Center St ","Channel Center St ",NULL,17,460,2009-06-16 00:00:00.000
147,952,163,Store,Contoso Worcester No.1 Store,Contoso Worcester No.1 Store,On,2004-10-17 00:00:00.000,NULL,781,1608,1608,441-555-0195,441-555-0195,"99 Central St ","99 Central St ",NULL,25,700,2009-06-17 00:00:00.000
148,952,163,Store,Contoso Worcester No.2 Store,Contoso Worcester No.2 Store,Off,2004-02-18 00:00:00.000,2009-07-12 00:00:00.000,782,1608,1608,118-555-0110,118-555-0110,Humboldt Ave,Humboldt Ave,Relocation,25,700,2009-06-18 00:00:00.000
149,885,164,Store,Contoso New Bedford Store,Contoso New Bedford Store,On,2004-02-19 00:00:00.000,NULL,783,2740,2740,965-555-0155,965-555-0155,Palmer CityCenter,Palmer CityCenter,NULL,26,680,2009-06-16 00:00:00.000
150,789,165,Store,Contoso Attleboro Store,Contoso Attleboro Store,On,2004-02-20 00:00:00.000,NULL,784,2703,2703,589-555-0147,589-555-0147,Thacher Downtown,Thacher Downtown,NULL,19,455,2009-06-17 00:00:00.000
151,868,166,Store,Contoso Lowell Store,Contoso Lowell Store,On,2004-02-21 00:00:00.000,NULL,785,1852,1852,181-555-0124,181-555-0124,Gorham Citycenter,Gorham Citycenter,NULL,33,560,2009-06-16 00:00:00.000
152,861,167,Store,Contoso Leominster Store,Contoso Leominster Store,On,2004-02-22 00:00:00.000,NULL,786,1453,1453,678-555-0110,678-555-0110,"101 Union St Shopping mall    ","101 Union St Shopping mall    ",NULL,47,1125,2009-06-17 00:00:00.000
153,846,168,Store,Contoso Hingham Store,Contoso Hingham Store,On,2004-01-17 00:00:00.000,NULL,787,2043,2043,696-555-0157,696-555-0157,"Crowes Ln St ","Crowes Ln St ",NULL,22,500,2009-06-18 00:00:00.000
154,917,169,Store,Contoso Quincy Store,Contoso Quincy Store,On,2004-02-18 00:00:00.000,NULL,788,2169,2169,870-555-0122,870-555-0122,"Thomas E Burgin St ","Thomas E Burgin St ",NULL,17,462,2009-06-16 00:00:00.000
155,832,170,Store,Contoso Framingham Store,Contoso Framingham Store,On,2004-03-19 00:00:00.000,NULL,789,1701,1701,182-555-0134,182-555-0134,29 Woodlan St,29 Woodlan St,NULL,25,700,2009-06-17 00:00:00.000
156,449,171,Store,Contoso Cambridge Store,Contoso Cambridge Store,On,2004-04-20 00:00:00.000,NULL,790,2138,2138,594-555-0110,594-555-0110,"8 Story St  Shopping mall    ","8 Story St  Shopping mall    ",NULL,26,680,2009-06-16 00:00:00.000
157,931,172,Store,Contoso Somerville Store,Contoso Somerville Store,On,2004-05-21 00:00:00.000,NULL,791,2145,2145,587-555-0114,587-555-0114,Pembroke St,Pembroke St,NULL,26,680,2009-06-17 00:00:00.000
158,844,173,Store,Contoso Haverhill Store,Contoso Haverhill Store,On,2004-06-22 00:00:00.000,NULL,792,1832,1832,368-555-0113,368-555-0113,"Hilldale Ave St ","Hilldale Ave St ",NULL,19,455,2009-06-18 00:00:00.000
159,869,174,Store,Contoso Lynn Store,Contoso Lynn Store,On,2004-07-23 00:00:00.000,NULL,793,1904,1904,869-555-0119,869-555-0119,Congress Rd,Congress Rd,NULL,33,560,2009-06-16 00:00:00.000
160,895,175,Store,Contoso Northampton Store,Contoso Northampton Store,On,2004-08-24 00:00:00.000,NULL,794,1062,1062,806-555-0136,806-555-0136,"Florence Rd Shopping mall    ","Florence Rd Shopping mall    ",NULL,47,1125,2009-06-17 00:00:00.000
161,848,176,Store,Contoso Holyoke Store,Contoso Holyoke Store,On,2004-08-25 00:00:00.000,NULL,795,1040,1040,819-555-0198,819-555-0198,"Old Jarvis Ave ","Old Jarvis Ave ",NULL,22,500,2009-06-16 00:00:00.000
162,909,177,Store,Contoso Pittsfield Store,Contoso Pittsfield Store,Off,2004-10-26 00:00:00.000,2009-07-12 00:00:00.000,796,1201,1201,173-555-0179,173-555-0179,Columbus Ave,Columbus Ave,Relocation,17,462,2009-06-17 00:00:00.000
163,826,178,Store,Contoso Falmouth Store,Contoso Falmouth Store,On,2004-11-27 00:00:00.000,NULL,797,2540,2540,429-555-0137,429-555-0137,"Shore Citycenter Shopping mall    ","Shore Citycenter Shopping mall    ",NULL,25,700,2009-06-18 00:00:00.000
164,914,179,Store,Contoso Provincetown Store,Contoso Provincetown Store,On,2004-12-02 00:00:00.000,NULL,798,2657,2657,181-555-0156,181-555-0156,Alden St,Alden St,NULL,26,680,2009-06-16 00:00:00.000
165,883,180,Store,Contoso Nantucket Store,Contoso Nantucket Store,On,2004-11-06 00:00:00.000,NULL,799,2554,2554,810-555-0178,810-555-0178,8 Washington St,8 Washington St,NULL,19,455,2009-06-17 00:00:00.000
166,795,181,Store,Contoso Bangor Store,Contoso Bangor Store,On,2004-10-17 00:00:00.000,NULL,800,4401,4401,201-555-0163,201-555-0163,"Woodland Dr St Shopping mall    ","Woodland Dr St Shopping mall    ",NULL,33,560,2009-06-16 00:00:00.000
167,796,182,Store,Contoso Bar Harbor Store,Contoso Bar Harbor Store,On,2004-02-18 00:00:00.000,NULL,801,4609,4609,746-555-0164,746-555-0164,Ledgelawn Ave,Ledgelawn Ave,NULL,47,1125,2009-06-17 00:00:00.000
168,855,183,Store,Contoso Kennebunkport Store,Contoso Kennebunkport Store,On,2004-02-19 00:00:00.000,NULL,802,4046,4046,587-555-0115,587-555-0115,"School St ","School St ",NULL,22,500,2009-06-18 00:00:00.000
169,862,184,Store,Contoso Lewiston Store,Contoso Lewiston Store,On,2004-02-20 00:00:00.000,NULL,803,4240,4240,140-555-0132,140-555-0132,50 Kevin St,50 Kevin St,NULL,17,460,2009-06-16 00:00:00.000
170,900,185,Store,Contoso Orono Store,Contoso Orono Store,On,2004-02-21 00:00:00.000,NULL,804,4473,4473,309-555-0170,309-555-0170,"Pleasant St ","Pleasant St ",NULL,25,700,2009-06-17 00:00:00.000
171,932,186,Store,Contoso South Portland Store,Contoso South Portland Store,On,2004-02-22 00:00:00.000,NULL,805,4106,4106,990-555-0172,990-555-0172,"Robert Mills St ","Robert Mills St ",NULL,25,700,2009-06-16 00:00:00.000
172,843,187,Store,Contoso Hartford Store,Contoso Hartford Store,On,2004-01-17 00:00:00.000,NULL,806,6103,6103,117-555-0185,117-555-0185,"Asylum St Shopping mall    ","Asylum St Shopping mall    ",NULL,26,680,2009-06-17 00:00:00.000
173,801,188,Store,Contoso Bridgeport Store,Contoso Bridgeport Store,On,2004-02-18 00:00:00.000,NULL,807,6604,6604,609-555-0153,609-555-0153,Center St,Center St,NULL,19,455,2009-06-18 00:00:00.000
174,948,189,Store,Contoso Waterbury Store,Contoso Waterbury Store,On,2004-03-19 00:00:00.000,NULL,808,6702,6702,238-555-0116,238-555-0116,"192 Bank St Shopping mall    ","192 Bank St Shopping mall    ",NULL,33,560,2009-06-16 00:00:00.000
175,896,190,Store,Contoso Old Saybrook Store,Contoso Old Saybrook Store,On,2004-04-20 00:00:00.000,NULL,809,6475,6475,100-555-0174,100-555-0174,18 W King Rd,18 W King Rd,NULL,47,1125,2009-06-17 00:00:00.000
176,816,191,Store,Contoso Darien Store,Contoso Darien Store,On,2004-05-21 00:00:00.000,NULL,810,6820,6820,438-555-0172,438-555-0172,"Lakeside Ave Shopping mall    ","Lakeside Ave Shopping mall    ",NULL,22,500,2009-06-16 00:00:00.000
177,888,192,Store,Contoso New Haven Store,Contoso New Haven Store,On,2004-06-22 00:00:00.000,NULL,811,6511,6511,118-555-0177,118-555-0177,Lynwood PI Downtown,Lynwood PI Downtown,NULL,17,462,2009-06-17 00:00:00.000
178,864,193,Store,Contoso Litchfield County Store,Contoso Litchfield County Store,On,2004-07-23 00:00:00.000,NULL,812,6759,6759,164-555-0114,164-555-0114,"CTuDED Rd, Litchfield County","CTuDED Rd, Litchfield County",NULL,25,700,2009-06-18 00:00:00.000
179,889,194,Store,Contoso New London Store,Contoso New London Store,On,2004-08-24 00:00:00.000,NULL,813,6320,6320,156-555-0199,156-555-0199,Jefferson Ave,Jefferson Ave,NULL,26,680,2009-06-16 00:00:00.000
180,892,195,Store,Contoso Norfolk Store,Contoso Norfolk Store,On,2004-08-25 00:00:00.000,NULL,814,23504,23504,712-555-0170,712-555-0170,Wide St Shopping mall,Wide St Shopping mall,NULL,26,680,2009-06-17 00:00:00.000
181,946,196,Store,Contoso Virginia Beach Store,Contoso Virginia Beach Store,On,2004-10-26 00:00:00.000,NULL,815,23451,23451,753-555-0129,753-555-0129,Atlantic Shopping mall,Atlantic Shopping mall,NULL,19,455,2009-06-16 00:00:00.000
182,951,197,Store,Contoso Winchester Store,Contoso Winchester Store,On,2004-11-27 00:00:00.000,NULL,816,22601,22601,654-555-0177,654-555-0177,Handley St Shopping mall,Handley St Shopping mall,NULL,33,560,2009-06-17 00:00:00.000
183,784,111,Store,Contoso Anchorage Store,Contoso Anchorage Store,On,2004-12-02 00:00:00.000,NULL,817,NULL,NULL,110-555-0115,110-555-0115,"4800 Spenard Road,Shopping mall","4800 Spenard Road,Shopping mall",NULL,47,1125,2009-06-18 00:00:00.000
184,783,198,Store,Contoso Alexandria Store,Contoso Alexandria Store,Off,2004-11-06 00:00:00.000,2009-07-12 00:00:00.000,818,22302,22302,822-555-0145,822-555-0145,Kingsgate St Shopping mall,Kingsgate St Shopping mall,Relocation,22,500,2009-06-16 00:00:00.000
185,921,199,Store,Contoso Roanoke Store,Contoso Roanoke Store,On,2004-10-17 00:00:00.000,NULL,819,24011,24011,559-555-0175,559-555-0175,Salem Ave SE StShopping mall,Salem Ave SE StShopping mall,NULL,17,462,2009-06-17 00:00:00.000
186,811,200,Store,Contoso Charlottesville Store,Contoso Charlottesville Store,On,2004-02-18 00:00:00.000,NULL,820,22903,22903,751-555-0134,751-555-0134,Grady Ave StShopping mall,Grady Ave StShopping mall,NULL,25,700,2009-06-16 00:00:00.000
187,833,201,Store,Contoso Fredericksburg Store,Contoso Fredericksburg Store,On,2004-02-19 00:00:00.000,NULL,821,22401,22401,319-555-0126,319-555-0126,Beverly St Shopping mall,Beverly St Shopping mall,NULL,26,680,2009-06-17 00:00:00.000
188,873,202,Store,Contoso Martinsville Store,Contoso Martinsville Store,On,2004-02-20 00:00:00.000,NULL,822,24112,24112,809-555-0133,809-555-0133,Monroe St,Monroe St,NULL,19,455,2009-06-18 00:00:00.000
189,841,203,Store,Contoso Greenville Store,Contoso Greenville Store,On,2004-02-21 00:00:00.000,NULL,823,29601,29601,517-555-0122,517-555-0122,Lavinia St Shopping mall,Lavinia St Shopping mall,NULL,33,560,2009-06-16 00:00:00.000
190,810,204,Store,Contoso Charleston Store,Contoso Charleston Store,On,2004-02-22 00:00:00.000,NULL,824,29406,29406,552-555-0111,552-555-0111,Rockingham St Shopping mall,Rockingham St Shopping mall,NULL,47,1125,2009-06-17 00:00:00.000
191,785,205,Store,Contoso Annapolis Store,Contoso Annapolis Store,On,2004-01-17 00:00:00.000,NULL,825,21401,21401,908-555-0159,908-555-0159,Cherry Grove Ave Shopping mall,Cherry Grove Ave Shopping mall,NULL,22,500,2009-06-16 00:00:00.000
192,794,206,Store,Contoso Baltimore Store,Contoso Baltimore Store,On,2004-02-18 00:00:00.000,NULL,826,21201,21201,508-555-0129,508-555-0129,Pleasant St,Pleasant St,NULL,17,460,2009-06-17 00:00:00.000
193,850,207,Store,Contoso Howard Store,Contoso Howard Store,On,2004-03-19 00:00:00.000,NULL,827,21794,21794,167-555-0139,167-555-0139,River Valley Chase St Shopping mall,River Valley Chase St Shopping mall,NULL,25,700,2009-06-18 00:00:00.000
194,920,208,Store,Contoso Ridgely Store,Contoso Ridgely Store,On,2004-04-20 00:00:00.000,NULL,828,21660,21660,310-555-0133,310-555-0133,"Deerfield St ","Deerfield St ",NULL,25,700,2009-06-16 00:00:00.000
195,915,209,Store,Contoso Queen Anne's County Store,Contoso Queen Anne's County Store,On,2004-05-21 00:00:00.000,NULL,829,21617,21617,106-555-0120,106-555-0120,Tilghman Neck St Shopping mall,Tilghman Neck St Shopping mall,NULL,26,680,2009-06-17 00:00:00.000
196,905,210,Store,Contoso Parkville Store,Contoso Parkville Store,On,2004-06-22 00:00:00.000,NULL,830,21234,21234,949-555-0174,949-555-0174,Parkville St Shopping mall,Parkville St Shopping mall,NULL,19,455,2009-06-16 00:00:00.000
197,792,211,Store,Contoso Back River Store,Contoso Back River Store,On,2004-07-23 00:00:00.000,NULL,831,21219,21219,955-555-0131,955-555-0131,Back River St Shopping mall,Back River St Shopping mall,NULL,33,560,2009-06-17 00:00:00.000
198,835,77,Store,Contoso North Harford Store,Contoso North Harford Store,On,2004-08-24 00:00:00.000,NULL,832,20874,20874,817-555-0186,817-555-0186,Wisteria St Shopping mall,Wisteria St Shopping mall,NULL,47,1125,2009-06-18 00:00:00.000
199,800,212,Online,Contoso North America Online Store,Contoso Online Store,On,2004-08-25 00:00:00.000,NULL,59,20817,20817,450-555-0152,450-555-0152,Marbury St Shopping mall,Marbury St Shopping mall,NULL,325,500,2009-06-16 00:00:00.000
200,894,213,Catalog,Contoso Catalog Store,Contoso Catalog Store,On,2004-10-26 00:00:00.000,NULL,58,21234,21234,278-555-0118,278-555-0118,North Harford St Shopping mall,North Harford St Shopping mall,NULL,120,462,2009-06-17 00:00:00.000
201,506,219,Store,Contoso London Store,Contoso London Store,On,2004-11-27 00:00:00.000,NULL,833,NULL,NULL,927-555-0168,927-555-0168,"London, W1C 1HG, United Kingdom","London, W1C 1HG, United Kingdom",NULL,17,462,2009-06-16 00:00:00.000
202,748,220,Store,Contoso Edinburgh Store,Contoso Edinburgh Store,On,2004-08-02 00:00:00.000,NULL,834,NULL,NULL,296-555-0121,296-555-0121,"Princes St Edinburgh, Midlothian Shopping mall, United Kingdom","Princes St Edinburgh, Midlothian Shopping mall, United Kingdom",NULL,25,700,2009-06-17 00:00:00.000
203,751,221,Store,Contoso Glasgow Store,Contoso Glasgow Store,On,2007-08-16 00:00:00.000,NULL,835,NULL,NULL,289-555-0196,289-555-0196,"Renfrew St Glasgow, Lanarkshire, Citycenter, United Kingdom","Renfrew St Glasgow, Lanarkshire, Citycenter, United Kingdom",NULL,26,680,2009-06-18 00:00:00.000
204,576,222,Store,Contoso York Store,Contoso York Store,On,2004-08-27 00:00:00.000,NULL,836,NULL,NULL,848-555-0163,848-555-0163,"Spurriergate York, North Yorkshire Citycenter, United Kingdom","Spurriergate York, North Yorkshire Citycenter, United Kingdom",NULL,78,680,2009-06-16 00:00:00.000
205,742,223,Store,Contoso Carlisle Store,Contoso Carlisle Store,On,2004-05-18 00:00:00.000,NULL,837,NULL,NULL,165-555-0113,165-555-0113,"Citycenter  Botchergate Carlisle, UK","Citycenter  Botchergate Carlisle, UK",NULL,23,680,2009-06-17 00:00:00.000
206,761,224,Store,Contoso Manchester Store,Contoso Manchester Store,On,2004-06-19 00:00:00.000,NULL,838,NULL,NULL,869-555-0125,869-555-0125," Windsor Ave Failsworth, Manchester Citycenter, United Kingdom"," Windsor Ave Failsworth, Manchester Citycenter, United Kingdom",NULL,11,680,2009-06-16 00:00:00.000
207,755,225,Store,Contoso Lancashire Store,Contoso Lancashire Store,On,2004-07-20 00:00:00.000,NULL,839,NULL,NULL,393-555-0186,393-555-0186,"Rochdale Rd Todmorden, Lancashire Shopping mall, United Kingdom","Rochdale Rd Todmorden, Lancashire Shopping mall, United Kingdom",NULL,36,680,2009-06-17 00:00:00.000
208,781,226,Store,Contoso West Yorkshire Store,Contoso West Yorkshire Store,On,2004-03-21 00:00:00.000,NULL,840,NULL,NULL,318-555-0137,318-555-0137,"22 Market Sq Shipley, West Yorkshire, BD18 3QJ, United Kingdom","22 Market Sq Shipley, West Yorkshire, BD18 3QJ, United Kingdom",NULL,90,680,2009-06-18 00:00:00.000
209,738,227,Store,Contoso Baildon Store,Contoso Baildon Store,On,2004-09-22 00:00:00.000,NULL,841,NULL,NULL,138-555-0118,138-555-0118,"West Ln, Baildon, Shipley Citycenter, United","West Ln, Baildon, Shipley Citycenter, United",NULL,32,680,2009-06-16 00:00:00.000
210,743,228,Store,Contoso Cheshire Store,Contoso Cheshire Store,On,2004-04-23 00:00:00.000,NULL,842,NULL,NULL,663-555-0172,663-555-0172,"Market St  Marple, Stockport, Cheshire Citycenter, United Kingdom","Market St  Marple, Stockport, Cheshire Citycenter, United Kingdom",NULL,NULL,680,2009-06-17 00:00:00.000
211,774,229,Store,Contoso Stockport Store,Contoso Stockport Store,On,2004-11-24 00:00:00.000,NULL,843,NULL,NULL,224-555-0187,224-555-0187,"Buxton Rd High Lane, Stockport Citycenter, United Kingdom","Buxton Rd High Lane, Stockport Citycenter, United Kingdom",NULL,34,680,2009-06-16 00:00:00.000
212,651,230,Store,Contoso Liverpool Store,Contoso Liverpool Store,On,2004-03-02 00:00:00.000,NULL,844,NULL,NULL,313-555-0196,313-555-0196,"Leinster Rd Liverpool, Merseyside Citycenter, UK  ","Leinster Rd Liverpool, Merseyside Citycenter, UK  ",NULL,64,680,2009-06-17 00:00:00.000
213,753,231,Store,Contoso Knotty Ash Store,Contoso Knotty Ash Store,On,2004-03-26 00:00:00.000,NULL,845,NULL,NULL,785-555-0132,785-555-0132,"East Prescot Road Knotty Ash, Citycenter, United Kingdom","East Prescot Road Knotty Ash, Citycenter, United Kingdom",NULL,24,680,2009-06-18 00:00:00.000
214,501,232,Store,Contoso Leeds Store,Contoso Leeds Store,On,2004-06-27 00:00:00.000,NULL,846,NULL,NULL,407-555-0165,407-555-0165,"Leeds Citycenter, United Kingdom","Leeds Citycenter, United Kingdom",NULL,25,680,2009-06-16 00:00:00.000
215,529,233,Store,Contoso Paris Store,Contoso Paris Store,On,2004-03-28 00:00:00.000,NULL,847,75001,75001,139-555-0131,139-555-0131,"Rue de Rivoli Citycenter  Paris, France","Rue de Rivoli Citycenter  Paris, France",NULL,12,680,2009-06-17 00:00:00.000
216,762,234,Store,Contoso Marseille Store,Contoso Marseille Store,On,2008-04-29 00:00:00.000,NULL,854,13006,13006,142-555-0139,142-555-0139,"Citycenter Marseille, France","Citycenter Marseille, France",NULL,13,680,2009-06-16 00:00:00.000
217,759,235,Store,Contoso Lyon Store,Contoso Lyon Store,On,2004-08-30 00:00:00.000,NULL,855,69002,69002,207-555-0192,207-555-0192,"Citycenter Lyon, France","Citycenter Lyon, France",NULL,15,680,2009-06-17 00:00:00.000
218,777,236,Store,Contoso Toulouse Store,Contoso Toulouse Store,On,2004-09-11 00:00:00.000,NULL,856,31000,31000,575-555-0126,575-555-0126,"Citycenter  toulouse, France","Citycenter  toulouse, France",NULL,23,680,2009-06-18 00:00:00.000
